Designator,Mid X,Mid Y,Rotation,Layer
A1,515.366,-213.021,0.0,bottom
D1,210.0865,-202.851,90.0,bottom
D10,419.5445,-202.184,90.0,bottom
D11,438.8485,-202.184,90.0,bottom
D12,457.6445,-201.93,90.0,bottom
D13,476.9485,-201.93,90.0,bottom
D14,210.2485,-223.012,90.0,bottom
D15,229.0445,-221.996,90.0,bottom
D16,248.3485,-222.25,90.0,bottom
D17,267.1445,-221.742,90.0,bottom
D18,286.4485,-221.742,90.0,bottom
D19,305.2445,-221.488,90.0,bottom
D2,248.3485,-203.454,90.0,bottom
D20,324.5485,-221.234,90.0,bottom
D21,343.3445,-221.234,90.0,bottom
D22,362.6485,-220.726,90.0,bottom
D23,381.4445,-220.726,90.0,bottom
D24,400.7485,-221.234,90.0,bottom
D25,419.5445,-221.234,90.0,bottom
D26,438.8485,-221.742,90.0,bottom
D27,467.2965,-221.742,90.0,bottom
D28,495.7445,-221.742,90.0,bottom
D29,214.8205,-241.046,90.0,bottom
D3,267.1445,-203.962,90.0,bottom
D30,238.6965,-241.046,90.0,bottom
D31,258.0005,-241.3,90.0,bottom
D32,276.7965,-241.046,90.0,bottom
D33,296.1005,-240.792,90.0,bottom
D34,314.8965,-241.046,90.0,bottom
D35,333.7225,-241.046,90.0,bottom
D36,353.0385,-241.046,90.0,bottom
D37,372.3125,-241.046,90.0,bottom
D38,391.1025,-241.554,90.0,bottom
D39,409.9045,-241.046,90.0,bottom
D4,286.4485,-202.438,90.0,bottom
D40,429.2145,-241.046,90.0,bottom
D41,448.0045,-241.554,90.0,bottom
D42,471.8685,-241.554,90.0,bottom
D43,495.7445,-241.554,90.0,bottom
D44,217.3725,-260.35,90.0,bottom
D45,243.2685,-260.604,90.0,bottom
D46,262.5725,-260.096,90.0,bottom
D47,281.3685,-260.096,90.0,bottom
D48,300.6725,-259.08,90.0,bottom
D49,319.4745,-259.334,90.0,bottom
D5,305.2445,-202.692,90.0,bottom
D50,338.7785,-259.842,90.0,bottom
D51,357.5685,-259.842,90.0,bottom
D52,376.8725,-259.842,90.0,bottom
D53,395.6685,-259.842,90.0,bottom
D54,414.9725,-259.334,90.0,bottom
D55,433.7685,-259.842,90.0,bottom
D56,465.2645,-259.334,90.0,bottom
D57,495.7445,-259.334,90.0,bottom
D58,221.9325,-279.146,90.0,bottom
D59,252.9205,-279.654,90.0,bottom
D6,333.6925,-202.438,90.0,bottom
D60,272.2245,-279.654,90.0,bottom
D61,291.0205,-279.146,90.0,bottom
D62,310.3245,-279.146,90.0,bottom
D63,329.1205,-278.638,90.0,bottom
D64,348.4245,-279.146,90.0,bottom
D65,367.2205,-279.146,90.0,bottom
D66,386.5245,-279.146,90.0,bottom
D67,405.3205,-279.146,90.0,bottom
D68,424.6245,-279.654,90.0,bottom
D69,450.5325,-279.146,90.0,bottom
D7,352.9965,-202.438,90.0,bottom
D70,476.9485,-279.654,90.0,bottom
D71,496.2525,-279.146,90.0,bottom
D72,212.7885,-298.958,90.0,bottom
D73,236.1565,-298.958,90.0,bottom
D74,260.0325,-298.704,90.0,bottom
D75,331.6605,-298.45,90.0,bottom
D76,400.7485,-298.704,90.0,bottom
D77,419.5445,-297.942,90.0,bottom
D78,438.8485,-298.45,90.0,bottom
D79,457.6445,-298.45,90.0,bottom
D8,371.7925,-202.438,90.0,bottom
D80,476.9485,-298.45,90.0,bottom
D81,495.7445,-297.942,90.0,bottom
D82,523.998,-287.516,270.0,bottom
D9,391.0965,-202.946,90.0,bottom
SW1,200.5965,-200.856,0.0,top
SW10,410.1465,-200.856,0.0,top
SW11,429.1965,-200.856,0.0,top
SW12,448.2465,-200.856,0.0,top
SW13,467.2965,-200.856,0.0,top
SW14,200.5965,-219.906,0.0,top
SW15,219.6465,-219.906,0.0,top
SW16,238.6965,-219.906,0.0,top
SW17,257.7465,-219.906,0.0,top
SW18,276.7965,-219.906,0.0,top
SW19,295.8465,-219.906,0.0,top
SW2,238.6965,-200.856,0.0,top
SW20,314.8965,-219.906,0.0,top
SW21,333.9465,-219.906,0.0,top
SW22,352.9965,-219.906,0.0,top
SW23,372.0465,-219.906,0.0,top
SW24,391.0965,-219.906,0.0,top
SW25,410.1465,-219.906,0.0,top
SW26,429.1965,-219.906,0.0,top
SW27,457.7715,-222.8535,0.0,top
SW28,486.3465,-219.906,0.0,top
SW29,205.359,-238.956,0.0,top
SW3,257.7465,-200.856,0.0,top
SW30,229.1715,-238.956,0.0,top
SW31,248.2215,-238.956,0.0,top
SW32,267.2715,-238.956,0.0,top
SW33,286.3215,-238.956,0.0,top
SW34,305.3715,-238.956,0.0,top
SW35,324.4215,-238.956,0.0,top
SW36,343.4715,-238.956,0.0,top
SW37,362.5215,-238.956,0.0,top
SW38,381.5715,-238.956,0.0,top
SW39,400.6215,-238.956,0.0,top
SW4,276.7965,-200.856,0.0,top
SW40,419.6715,-238.956,0.0,top
SW41,438.7215,-238.956,0.0,top
SW42,462.534,-238.956,0.0,top
SW43,486.3465,-238.956,0.0,top
SW44,207.74025,-258.006,0.0,top
SW45,233.934,-258.006,0.0,top
SW46,252.984,-258.006,0.0,top
SW47,272.034,-258.006,0.0,top
SW48,291.084,-258.006,0.0,top
SW49,310.134,-258.006,0.0,top
SW5,295.8465,-200.856,0.0,top
SW50,329.184,-258.006,0.0,top
SW51,348.234,-258.006,0.0,top
SW52,367.284,-258.006,0.0,top
SW53,386.334,-258.006,0.0,top
SW54,405.384,-258.006,0.0,top
SW55,424.434,-258.006,0.0,top
SW56,455.39025,-260.9535,0.0,top
SW57,486.3465,-258.006,0.0,top
SW58,212.50275,-280.0035,0.0,top
SW59,243.459,-277.056,0.0,top
SW6,324.4215,-200.856,0.0,top
SW60,262.509,-277.056,0.0,top
SW61,281.559,-277.056,0.0,top
SW62,300.609,-277.056,0.0,top
SW63,319.659,-277.056,0.0,top
SW64,338.709,-277.056,0.0,top
SW65,357.759,-277.056,0.0,top
SW66,376.809,-277.056,0.0,top
SW67,395.859,-277.056,0.0,top
SW68,414.909,-277.056,0.0,top
SW69,441.10275,-277.056,0.0,top
SW7,343.4715,-200.856,0.0,top
SW70,467.2965,-277.056,0.0,top
SW71,486.3465,-277.056,0.0,top
SW72,202.97775,-296.106,0.0,top
SW73,226.79025,-296.106,0.0,top
SW74,250.60275,-296.106,0.0,top
SW75,322.04025,-299.0535,0.0,top
SW76,391.0965,-296.106,0.0,top
SW77,410.1465,-296.106,0.0,top
SW78,429.1965,-296.106,0.0,top
SW79,448.2465,-296.106,0.0,top
SW8,362.5215,-200.856,0.0,top
SW80,467.2965,-296.106,0.0,top
SW81,486.3465,-296.106,0.0,top
SW82,512.572,-287.528,0.0,top
SW9,381.5715,-200.856,0.0,top
